Company,Month,Service to Public,Campaign Type,Company Location,Paid to Ad,Percent,Spend,Spent,Impressions,Clicks,CRT,Goal
Marty Rae's Furniture,OCT,Furniture,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,OCT,Roofing,Display,,1000,0.3,,297.96,232945,234,,
McGuire's Portable Buildings,OCT,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,OCT,Medical,Display,,500,0.3,,41.5,84189,86,,
Midtown OB Fibroids Trial,OCT,Medical,Display,,,0.3,,0.0,0,0,,
Mikata Japanese Restaurant,OCT,Restaurant,Display,,500,0.3,,149.99,0,61,,
Mike Seltzer Jewelers,OCT,Retail,Display,,,0.3,,0.0,0,0,,
North Country Family Health Center,OCT,Medical,Display,,,0.3,,101.349787,0,14,,
Northridge Vet,OCT,Veterinary,Display,,500,0.3,,113.16,92749,99,,
Only Plumbing,OCT,Plumbing,Display,,,0.3,,0.0,0,0,,
Overby Company,OCT,Office Supply,Display,,400,0.3,,236.54,47530,522,,
Overby Company,OCT,Office Supply,Display,,,0.3,,,,,,
Overhead Door -Watertown,OCT,Garage Door,Display,,500,0.3,,322.98,0,62,,
Parkside Dental,OCT,Dentist,Display,,500,0.3,,104.22,68592,267,,
Pink Monarch,OCT,Medical,Display,,560,0.3,,171.41,130594,127,,
PinProps,OCT,Real Estate,Display,,,0.3,,0.0,0,0,,
Proscape Colorants,OCT,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Ragan Grading & Septic,OCT,Plumbing,Display,,,0.3,,0.0,0,0,,
Reliance Home Services,OCT,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Roscoe Jenkins Funeral Home,OCT,Funeral,Display,,,0.3,,0.0,0,0,,
Rosenfelds Deli,OCT,Restaurant,Display,,,0.3,,0.0,0,0,,
Servpro CDW,OCT,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,OCT,Restoration & Cleaning,Display,,400,0.3,,43.4,34431,16,,
Shred A Way,OCT,Office Supply,Display,,400,0.3,,96.91,38106,124,,
Shred A Way,OCT,Office Supply,Display,,,0.3,,,,,,
Smiths Radiator,OCT,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,OCT,Church & School,Display,,500,0.3,,149.97,0,84,,
The Roofing Guys,OCT,Roofing,Display,,,0.3,,0.0,0,0,,
Thompson West Plumbing,OCT,Plumbing,Display,,,0.3,,0.0,0,0,,
Tidemark Federal Credit Union,OCT,Banking,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,OCT,Tire & Auto,Display,,1700,0.3,,352.2,191899,316,,
TLC Realty,OCT,Real Estate,Display,,,0.3,,0.0,0,0,,
Valley Rescue Mission,OCT,Charitable,Display,,1000,0.3,,63.85,0,33,,
West Georgia Eye Care,OCT,Medical,Display,,1000,0.3,,590.98,670,379,,
WVNC Job Fair,OCT,Media,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,NOV,Dentist,Display,,900,0.3,,109.75,104824,530,,
Advanced Med Pro,NOV,Banking,Display,,,0.3,,0.0,0,0,,
Alabama Funeral Homes & Cremation Center,NOV,Funeral,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,NOV,,Display,,,0.3,,0.0,0,0,,
Allstar Heating & Air,NOV,HVAC,Display,,,0.3,,0.0,0,0,,
American Roofing and Restoration,NOV,Roofing,Display,,500,0.3,,158.93,108255,72,,
ASP Pools,NOV,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Avery's Furniture,NOV,Furniture,Display,,400,0.3,,139.57,41971,201,,
Bennie Smith Funeral Homes,NOV,Funeral,Display,,,0.3,,0.0,0,0,,
Beracah Homes,NOV,Housing,Display,,,0.3,,0.0,0,0,,
Bethany Church,NOV,Church & School,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,NOV,"Plumbing, HVAC",Display,,,0.3,,0.0,0,0,,
Childress Dental,NOV,Dentist,Display,,,0.3,,0.0,0,0,,
Chris Moore Roofing,NOV,Roofing,Display,,350,0.3,,128.32,43704,68,,
Cofield Comfort Systems,NOV,HVAC,Display,,500,0.3,,154.25,56104,88,,
Columbus Hospice,NOV,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,NOV,Church & School,Display,,400,0.3,,444.13,162017,165,,
Complete Tire,NOV,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Containers by Reaves,NOV,Waste Management,Display,,,0.3,,0.0,0,0,,
D&H Backhoe Services,NOV,Plumbing,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,NOV,Dentist,Display,,,0.3,,0.0,0,0,,
Desert Steel,NOV,Retail,Display,,,0.3,,0.0,0,0,,
Farney's Home & Building Center,NOV,Home Improvement,Display,,,0.3,,136.79,86861,204,,
First Response Services,NOV,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,NOV,Tree Service,Display,,,0.3,,0.0,0,0,,
Gil's Auto Opelika,NOV,Auto Sales,Display,,,0.3,,0.0,0,0,,
Grand Opera House,NOV,Entertainment,Display,,553.88,0.3,,82.55,33147,38,,
Green Team Dumpster Rentals,NOV,Waste Management,Display,,,0.3,,0.0,0,0,,
Hinson Galleries,NOV,Furniture,Display,,,0.3,,0.0,0,0,,
Hutchinson Boat Works,NOV,Boating,Display,,,0.3,,0.0,0,0,,
Hyundai of Auburn,NOV,Auto Sales,Display,,,0.3,,0.0,0,0,,
iAct Colorectal Cancer,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Diabetes Mellitus Trial,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Eczema Trial,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Oral Mucositis,NOV,Medical,Display,,,0.3,,0.0,0,0,,
iAct Pancreatic Cancer,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Teen Obesity,NOV,Clinical Trials,Display,,,0.3,,0.0,0,0,,
Launch Trampoline,NOV,Entertainment,Display,,1000,0.3,,304.61,112200,213,,
Marty Rae's Furniture,NOV,Furniture,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,NOV,Roofing,Display,,1000,0.3,,86.0,87303,76,,
McGuire's Portable Buildings,NOV,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,NOV,Medical,Display,,500,0.3,,30.54,72948,71,,
Midtown OB Fibroids Trial,NOV,Medical,Display,,,0.3,,0.0,0,0,,
Mikata Japanese Restaurant,NOV,Restaurant,Display,,500,0.3,,151.71,56103,32,,
Mike Seltzer Jewelers,NOV,Retail,Display,,,0.3,,0.0,0,0,,
North Country Family Health Center,NOV,Medical,Display,,,0.3,,0.0,0,1,,
Northridge Vet,NOV,Veterinary,Display,,500,0.3,,86.77,64620,70,,
Only Plumbing,NOV,Plumbing,Display,,,0.3,,0.0,0,0,,
Overby Company,NOV,Office Supply,Display,,400,0.3,,271.67,35279,604,,
Overby Company,NOV,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,NOV,Garage Door,Display,,500,0.3,,263.33,60454,48,,
Parkside Dental,NOV,Dentist,Display,,500,0.3,,118.8,49027,302,,
Pink Monarch,NOV,Medical,Display,,560,0.3,,120.94,106403,96,,
PinProps,NOV,Real Estate,Display,,,0.3,,0.0,0,0,,
Proscape Colorants,NOV,Landscaping & Pools,Display,,3000,0.3,,0.0,0,0,,
Ragan Grading & Septic,NOV,Plumbing,Display,,,0.3,,0.0,0,0,,
Reliance Home Services,NOV,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Roscoe Jenkins Funeral Home,NOV,Funeral,Display,,,0.3,,0.0,0,0,,
Rosenfelds Deli,NOV,Restaurant,Display,,850,0.3,,258.73,95377,136,,
Servpro CDW,NOV,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,NOV,Restoration & Cleaning,Display,,400,0.3,,51.12,54264,62,,
Shred A Way,NOV,Office Supply,Display,,400,0.3,,185.68,62276,297,,
Shred A Way,NOV,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,NOV,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,NOV,Church & School,Display,,500,0.3,,157.92,56100,83,,
The Roofing Guys,NOV,Roofing,Display,,,0.3,,0.0,0,0,,
Thompson West Plumbing,NOV,Plumbing,Display,,,0.3,,0.0,0,0,,
Tidemark Federal Credit Union,NOV,Banking,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,NOV,Tire & Auto,Display,,1700,0.3,,417.04,186902,210,,
TLC Realty,NOV,Real Estate,Display,,,0.3,,0.0,0,0,,
Valley Rescue Mission,NOV,Charitable,Display,,1000,0.3,,405.41,154570,132,,
West Georgia Eye Care,NOV,Medical,Display,,1000,0.3,,304.76,112209,132,,
WVNC Job Fair,NOV,Media,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,DEC,Dentist,Display,,900,0.3,,83.1,94540,394,,
Advanced Med Pro,DEC,Banking,Display,,,0.3,,0.0,0,0,,
Alabama Funeral Homes & Cremation Center,DEC,Funeral,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,DEC,,Display,,,0.3,,0.0,0,0,,
Allstar Heating & Air,DEC,HVAC,Display,,,0.3,,0.0,0,0,,
American Roofing and Restoration,DEC,Roofing,Display,,500,0.3,,118.71,80440,94,,
ASP Pools,DEC,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Avery's Furniture,DEC,Furniture,Display,,400,0.3,,96.34,44456,109,,
Bennie Smith Funeral Homes,DEC,Funeral,Display,,,0.3,,0.0,0,0,,
Beracah Homes,DEC,Housing,Display,,,0.3,,0.0,0,0,,
Bethany Church,DEC,Church & School,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,DEC,"Plumbing, HVAC",Display,,,0.3,,0.0,0,0,,
Childress Dental,DEC,Dentist,Display,,,0.3,,0.0,0,0,,
Chris Moore Roofing,DEC,Roofing,Display,,350,0.3,,140.4,0,65,,
Cofield Comfort Systems,DEC,HVAC,Display,,500,0.3,,158.54,0,86,,
Columbus Hospice,DEC,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,DEC,Church & School,Display,,400,0.3,,242.59,0,223,,
Complete Tire,DEC,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Containers by Reaves,DEC,Waste Management,Display,,,0.3,,0.0,0,0,,
D&H Backhoe Services,DEC,Plumbing,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,DEC,Dentist,Display,,,0.3,,0.0,0,0,,
Desert Steel,DEC,Retail,Display,,,0.3,,0.0,0,0,,
Farney's Home & Building Center,DEC,Home Improvement,Display,,,0.3,,0.0,0,0,,
First Response Services,DEC,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,DEC,Tree Service,Display,,,0.3,,0.0,0,0,,
Gil's Auto Opelika,DEC,Auto Sales,Display,,,0.3,,0.0,0,0,,
Grand Opera House,DEC,Entertainment,Display,,100,0.3,,0.0,0,0,,
Green Team Dumpster Rentals,DEC,Waste Management,Display,,,0.3,,0.0,0,0,,
Hinson Galleries,DEC,Furniture,Display,,,0.3,,0.0,0,0,,
Hutchinson Boat Works,DEC,Boating,Display,,,0.3,,0.0,0,0,,
Hyundai of Auburn,DEC,Auto Sales,Display,,,0.3,,0.0,0,0,,
iAct Colorectal Cancer,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Diabetes Mellitus Trial,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Eczema Trial,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Oral Mucositis,DEC,Medical,Display,,,0.3,,0.0,0,0,,
iAct Pancreatic Cancer,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Teen Obesity,DEC,Clinical Trials,Display,,,0.3,,0.0,0,0,,
Launch Trampoline,DEC,Entertainment,Display,,867,0.3,,266.02,0,161,,
Marty Rae's Furniture,DEC,Furniture,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,DEC,Roofing,Display,,1000,0.3,,267.62,106565,185,,
McGuire's Portable Buildings,DEC,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,DEC,Medical,Display,,500,0.3,,47.34,58588,106,,
Midtown OB Fibroids Trial,DEC,Medical,Display,,,0.3,,0.0,0,0,,
Mikata Japanese Restaurant,DEC,Restaurant,Display,,500,0.3,,158.26,0,44,,
Mike Seltzer Jewelers,DEC,Retail,Display,,,0.3,,0.0,0,0,,
North Country Family Health Center,DEC,Medical,Display,,,0.3,,0.0,0,0,,
Northridge Vet,DEC,Veterinary,Display,,500,0.3,,102.66,70406,92,,
Only Plumbing,DEC,Plumbing,Display,,,0.3,,0.0,0,0,,
Overby Company,DEC,Office Supply,Display,,400,0.3,,309.86,44626,592,,
Overby Company,DEC,Office Supply,Display,,,0.3,,,,,,
Overhead Door -Watertown,DEC,Garage Door,Display,,500,0.3,,184.98,0,39,,
Parkside Dental,DEC,Dentist,Display,,500,0.3,,131.72,54607,107,,
Pink Monarch,DEC,Medical,Display,,560,0.3,,110.5,94242,93,,
PinProps,DEC,Real Estate,Display,,,0.3,,0.0,0,0,,
Proscape Colorants,DEC,Landscaping & Pools,Display,,3000,0.3,,0.0,0,0,,
Ragan Grading & Septic,DEC,Plumbing,Display,,500,0.3,,50.59,0,29,,
Reliance Home Services,DEC,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Roscoe Jenkins Funeral Home,DEC,Funeral,Display,,,0.3,,0.0,0,0,,
Rosenfelds Deli,DEC,Restaurant,Display,,850,0.3,,268.59,0,104,,
Servpro CDW,DEC,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,DEC,Restoration & Cleaning,Display,,400,0.3,,145.03,95432,68,,
Shred A Way,DEC,Office Supply,Display,,400,0.3,,66.82,68150,101,,
Shred A Way,DEC,Office Supply,Display,,,0.3,,,,,,
Smiths Radiator,DEC,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,DEC,Church & School,Display,,500,0.3,,155.8,0,82,,
The Roofing Guys,DEC,Roofing,Display,,,0.3,,0.0,0,0,,
Thompson West Plumbing,DEC,Plumbing,Display,,,0.3,,30.37,23680,38,,
Tidemark Federal Credit Union,DEC,Banking,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,DEC,Tire & Auto,Display,,1700,0.3,,537.56,210040,244,,
TLC Realty,DEC,Real Estate,Display,,,0.3,,0.0,0,0,,
Valley Rescue Mission,DEC,Charitable,Display,,500,0.3,,271.81,0,122,,
West Georgia Eye Care,DEC,Medical,Display,,1000,0.3,,319.47,0,149,,
WVNC Job Fair,DEC,Media,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,JAN,Dentist,Display,,900,0.3,,264.82,110833,224,,
Advanced Med Pro,JAN,Banking,Display,,,0.3,,0.0,0,0,,
Alabama Funeral Homes & Cremation Center,JAN,Funeral,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,JAN,,Display,,,0.3,,0.0,0,0,,
Allstar Heating & Air,JAN,HVAC,Display,,,0.3,,0.0,0,0,,
American Roofing and Restoration,JAN,Roofing,Display,,500,0.3,,86.46,63575,70,,
ASP Pools,JAN,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Avery's Furniture,JAN,Furniture,Display,,400,0.3,,162.8,55616,162,,
Bennie Smith Funeral Homes,JAN,Funeral,Display,,1000,0.3,,348.8,110004,93,,
Beracah Homes,JAN,Housing,Display,,500,0.3,,150.95,55002,91,,
Bethany Church,JAN,Church & School,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,JAN,"Plumbing, HVAC",Display,,,0.3,,0.0,0,0,,
Childress Dental,JAN,Dentist,Display,,500,0.3,,0.74,1955,1,,
Chris Moore Roofing,JAN,Roofing,Display,,350,0.3,,137.75,47277,69,,
Cofield Comfort Systems,JAN,HVAC,Display,,500,0.3,,161.08,56092,80,,
Columbus Hospice,JAN,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,JAN,Church & School,Display,,400,0.3,,153.48,55004,70,,
Complete Tire,JAN,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Containers by Reaves,JAN,Waste Management,Display,,500,0.3,,89.93,33107,37,,
D&H Backhoe Services,JAN,Plumbing,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,JAN,Dentist,Display,,500,0.3,,144.16,50002,76,,
Desert Steel,JAN,Retail,Display,,,0.3,,0.0,0,0,,
Farney's Home & Building Center,JAN,Home Improvement,Display,,,0.3,,0.0,0,0,,
First Response Services,JAN,Restoration & Cleaning,Display,,225,0.3,,0.0,0,0,,
Fosters Tree Service,JAN,Tree Service,Display,,,0.3,,32.32,13858,59,,
Gil's Auto Opelika,JAN,Auto Sales,Display,,,0.3,,0.0,0,0,,
Grand Opera House,JAN,Entertainment,Display,,,0.3,,0.0,0,0,,
Green Team Dumpster Rentals,JAN,Waste Management,Display,,,0.3,,0.0,0,0,,
Hinson Galleries,JAN,Furniture,Display,,,0.3,,0.0,0,0,,
Hutchinson Boat Works,JAN,Boating,Display,,,0.3,,0.0,0,0,,
Hyundai of Auburn,JAN,Auto Sales,Display,,,0.3,,0.0,0,0,,
iAct Colorectal Cancer,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Diabetes Mellitus Trial,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Eczema Trial,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Oral Mucositis,JAN,Medical,Display,,,0.3,,0.0,0,0,,
iAct Pancreatic Cancer,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Teen Obesity,JAN,Clinical Trials,Display,,,0.3,,0.0,0,0,,
Launch Trampoline,JAN,Entertainment,Display,,1000,0.3,,307.55,112197,175,,
Marty Rae's Furniture,JAN,Furniture,Display,,1800,0.3,,569.64,198007,176,,
Matt's Roofing & Gutters,JAN,Roofing,Display,,1000,0.3,,102.92,105978,213,,
McGuire's Portable Buildings,JAN,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,JAN,Medical,Display,,500,0.3,,35.97,57325,80,,
Midtown OB Fibroids Trial,JAN,Medical,Display,,,0.3,,0.0,0,0,,
Mikata Japanese Restaurant,JAN,Restaurant,Display,,,0.3,,0.0,0,0,,
Mike Seltzer Jewelers,JAN,Retail,Display,,,0.3,,0.0,0,0,,
North Country Family Health Center,JAN,Medical,Display,,750,0.3,,111.03,39443,48,,
Northridge Vet,JAN,Veterinary,Display,,500,0.3,,96.42,75170,97,,
Only Plumbing,JAN,Plumbing,Display,,,0.3,,0.0,0,0,,
Overby Company,JAN,Office Supply,Display,,400,0.3,,247.95,66896,546,,
Overby Company,JAN,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,JAN,Garage Door,Display,,500,0.3,,152.67,55000,68,,
Parkside Dental,JAN,Dentist,Display,,500,0.3,,108.57,57298,173,,
Pink Monarch,JAN,Medical,Display,,560,0.3,,80.37,87483,129,,
PinProps,JAN,Real Estate,Display,,,0.3,,0.0,0,0,,
Proscape Colorants,JAN,Landscaping & Pools,Display,,3000,0.3,,986.78,329979,782,,
Ragan Grading & Septic,JAN,Plumbing,Display,,500,0.3,,145.62,50631,93,,
Reliance Home Services,JAN,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Roscoe Jenkins Funeral Home,JAN,Funeral,Display,,350,0.3,,33.05,21708,57,,
Rosenfelds Deli,JAN,Restaurant,Display,,850,0.3,,266.6,93615,162,,
Servpro CDW,JAN,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,JAN,Restoration & Cleaning,Display,,400,0.3,,127.54,95990,142,,
Shred A Way,JAN,Office Supply,Display,,400,0.3,,79.24,87898,191,,
Shred A Way,JAN,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,JAN,Tire & Auto,Display,,500,0.3,,155.5,51000,87,,
Success Unlimited Academy,JAN,Church & School,Display,,500,0.3,,168.49,56100,80,,
The Roofing Guys,JAN,Roofing,Display,,,0.3,,0.0,0,0,,
Thompson West Plumbing,JAN,Plumbing,Display,,,0.3,,0.0,0,0,,
Tidemark Federal Credit Union,JAN,Banking,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,JAN,Tire & Auto,Display,,1700,0.3,,320.56,188134,256,,
TLC Realty,JAN,Real Estate,Display,,,0.3,,0.0,0,0,,
Valley Rescue Mission,JAN,Charitable,Display,,,0.3,,0.0,0,0,,
West Georgia Eye Care,JAN,Medical,Display,,1000,0.3,,334.27,112200,132,,
WVNC Job Fair,JAN,Media,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,FEB,Dentist,Display,,900,0.3,,188.87,106150,220,,
Advanced Med Pro,FEB,Banking,Display,,,0.3,,0.0,0,0,,
Alabama Funeral Homes & Cremation Center,FEB,Funeral,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,FEB,,Display,,,0.3,,18.15,2844,8,,
Allstar Heating & Air,FEB,HVAC,Display,,500,0.3,,41.78,12609,70,,
American Roofing and Restoration,FEB,Roofing,Display,,500,0.3,,104.17,72914,86,,
ASP Pools,FEB,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Avery's Furniture,FEB,Furniture,Display,,400,0.3,,87.61,45788,120,,
Bennie Smith Funeral Homes,FEB,Funeral,Display,,1000,0.3,,366.04,109970,97,,
Beracah Homes,FEB,Housing,Display,,900,0.3,,272.4,98962,120,,
Bethany Church,FEB,Church & School,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,FEB,"Plumbing, HVAC",Display,,1000,0.3,,609.13,219917,197,,
Childress Dental,FEB,Dentist,Display,,500,0.3,,120.33,69568,221,,
Chris Moore Roofing,FEB,Roofing,Display,,350,0.3,,120.27,42302,39,,
Cofield Comfort Systems,FEB,HVAC,Display,,500,0.3,,150.76,54942,71,,
Columbus Hospice,FEB,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,FEB,Church & School,Display,,400,0.3,,158.26,55008,41,,
Complete Tire,FEB,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Containers by Reaves,FEB,Waste Management,Display,,500,0.3,,132.78,47418,33,,
D&H Backhoe Services,FEB,Plumbing,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,FEB,Dentist,Display,,500,0.3,,171.48,59999,48,,
Desert Steel,FEB,Retail,Display,,,0.3,,0.0,0,0,,
Farney's Home & Building Center,FEB,Home Improvement,Display,,750,0.3,,190.57,87804,462,,
First Response Services,FEB,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,FEB,Tree Service,Display,,,0.3,,0.0,0,0,,
Gil's Auto Opelika,FEB,Auto Sales,Display,,1500,0.3,,474.49,165004,235,,
Grand Opera House,FEB,Entertainment,Display,,,0.3,,0.0,0,0,,
Green Team Dumpster Rentals,FEB,Waste Management,Display,,,0.3,,0.0,0,0,,
Hinson Galleries,FEB,Furniture,Display,,,0.3,,0.0,0,0,,
Hutchinson Boat Works,FEB,Boating,Display,,,0.3,,0.0,0,0,,
Hyundai of Auburn,FEB,Auto Sales,Display,,,0.3,,0.0,0,0,,
iAct Colorectal Cancer,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Diabetes Mellitus Trial,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Eczema Trial,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Oral Mucositis,FEB,Medical,Display,,,0.3,,0.0,0,0,,
iAct Pancreatic Cancer,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Teen Obesity,FEB,Clinical Trials,Display,,,0.3,,0.0,0,0,,
Launch Trampoline,FEB,Entertainment,Display,,1000,0.3,,291.45,106037,154,,
Marty Rae's Furniture,FEB,Furniture,Display,,1800,0.3,,555.22,197920,170,,
Matt's Roofing & Gutters,FEB,Roofing,Display,,1000,0.3,,242.18,124895,488,,
McGuire's Portable Buildings,FEB,Buildings,Display,,,0.3,,10.72,3461,63,,
Midtown OB,FEB,Medical,Display,,500,0.3,,46.35,67102,88,,
Midtown OB Fibroids Trial,FEB,Medical,Display,,,0.3,,0.0,0,0,,
Mikata Japanese Restaurant,FEB,Restaurant,Display,,,0.3,,0.0,0,0,,
Mike Seltzer Jewelers,FEB,Retail,Display,,,0.3,,0.0,0,0,,
North Country Family Health Center,FEB,Medical,Display,,750,0.3,,112.08,39360,15,,
Northridge Vet,FEB,Veterinary,Display,,500,0.3,,94.46,69895,85,,
Only Plumbing,FEB,Plumbing,Display,,,0.3,,0.0,0,0,,
Overby Company,FEB,Office Supply,Display,,400,0.3,,145.13,45392,286,,
Overby Company,FEB,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,FEB,Garage Door,Display,,500,0.3,,160.16,55001,59,,
Parkside Dental,FEB,Dentist,Display,,500,0.3,,133.35,60011,178,,
Pink Monarch,FEB,Medical,Display,,560,0.3,,109.16,77024,176,,
PinProps,FEB,Real Estate,Display,,,0.3,,0.0,0,0,,
Proscape Colorants,FEB,Landscaping & Pools,Display,,3000,0.3,,969.54,309303,367,,
Ragan Grading & Septic,FEB,Plumbing,Display,,500,0.3,,133.25,46601,64,,
Reliance Home Services,FEB,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Roscoe Jenkins Funeral Home,FEB,Funeral,Display,,,0.3,,32.04,25595,63,,
Rosenfelds Deli,FEB,Restaurant,Display,,850,0.3,,267.97,93597,103,,
Servpro CDW,FEB,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,FEB,Restoration & Cleaning,Display,,400,0.3,,119.34,80538,237,,
Shred A Way,FEB,Office Supply,Display,,600,0.3,,198.09,96684,341,,
Shred A Way,FEB,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,FEB,Tire & Auto,Display,,500,0.3,,145.93,51002,42,,
Success Unlimited Academy,FEB,Church & School,Display,,500,0.3,,160.91,56106,42,,
The Roofing Guys,FEB,Roofing,Display,,,0.3,,0.0,0,0,,
Thompson West Plumbing,FEB,Plumbing,Display,,,0.3,,0.0,0,0,,
Tidemark Federal Credit Union,FEB,Banking,Display,,2800,0.3,,832.17,299788,245,,
Tires First - Aletheia,FEB,Tire & Auto,Display,,1700,0.3,,217.17,189183,459,,
TLC Realty,FEB,Real Estate,Display,,,0.3,,0.0,0,0,,
Valley Rescue Mission,FEB,Charitable,Display,,,0.3,,0.0,0,0,,
West Georgia Eye Care,FEB,Medical,Display,,1000,0.3,,328.38,112205,126,,
WVNC Job Fair,FEB,Media,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,MAR,Dentist,Display,,900,0.3,,267.5,114677,308,,
Advanced Med Pro,MAR,Banking,Display,,,0.3,,0.0,0,152,,
Alabama Funeral Homes & Cremation Center,MAR,Funeral,Display,,1500,0.3,,208.58,73963,338,,
Aletheia Digital,MAR,,Display,,,0.3,,19.45,7060,44,,
Allstar Heating & Air,MAR,HVAC,Display,,,0.3,,88.79,85294,68,,
American Roofing and Restoration,MAR,Roofing,Display,,500,0.3,,83.61,55623,176,,
ASP Pools,MAR,Landscaping & Pools,Display,,700,0.3,,393.83,247942,255,,
